,Incident year,Number of Dead,Lat,Long
434,2016,1.0,24.215586, -99.4332699
435,2016,1.0,32.21936, -111.24967
436,2016,1.0,31.816117, -112.072267
437,2016,1.0,32.5567, -111.95146
438,2016,1.0,32.59644, -114.709677
439,2016,1.0,31.7378, -112.093
440,2016,1.0,32.39779, -111.03047
441,2016,1.0,32.661761, -114.748075
442,2016,1.0,26.1490665, -97.6906534
443,2016,1.0,32.3475, -113.3066
444,2016,1.0,32.3477, -113.3066
445,2016,1.0,32.3475, -113.3064
446,2016,1.0,32.3475, -113.3068
447,2016,1.0,32.20416, -112.989
448,2016,1.0,32.5543093, -117.0512982
449,2016,1.0,28.6376735, -100.5282163
450,2016,1.0,27.7155889, -99.6987461
451,2016,3.0,24.215586, -99.4332699
452,2016,1.0,31.7917, -112.006667
453,2016,1.0,32.6087, -112.758533
454,2016,1.0,27.1334908, -103.434484
455,2016,1.0,28.4226837, -100.0344494
456,2016,1.0,31.8997, -111.769884
457,2016,1.0,27.1334908, -103.434484
458,2016,1.0,31.773083, -111.918183
459,2016,1.0,31.98296, -110.5362
460,2016,1.0,31.64488, -111.91678
461,2016,1.0,24.215586, -99.4332699
462,2016,1.0,32.10363, -111.52543
463,2016,1.0,28.4226837, -100.0344494
464,2016,1.0,31.953017, -112.87445
465,2016,1.0,32.26201, -112.69105
466,2016,,28.4226837, -100.0344494
467,2016,1.0,32.07215, -112.972419
468,2016,1.0,32.03956, -113.03051
469,2016,1.0,32.29616, -113.14816
470,2016,1.0,31.903683, -112.146183
471,2016,1.0,24.215586, -99.4332699
472,2016,1.0,32.607767, -113.046967
473,2016,1.0,26.9403821, -97.9181768
474,2016,1.0,26.376354, -98.3833477
475,2016,1.0,33.0184054, -117.3988689
476,2016,1.0,31.890533, -112.163068
477,2016,1.0,32.23925, -111.4293
478,2016,1.0,32.153928, -110.982707
479,2016,1.0,27.4531416, -99.6148525
480,2016,1.0,31.962331, -111.362668
481,2016,1.0,31.78046, -111.95446
482,2016,1.0,31.69473, -111.98491
